customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Predicted_Churn_Risk,Predicted_Churn_Class,Customer_Segment
2824-AXIH,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),19.13,790.04,Yes,0.4856,No,Low/Mid Value (Needs Nurturing)
4657-EXDV,Female,1,Yes,Yes,68,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),21.29,1441.92,No,0.4864,No,Low/Mid Value (Needs Nurturing)
9935-CSNB,Male,0,No,Yes,62,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),93.25,5770.2,No,0.3219,No,High Value (VIP)
1488-CGHQ,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,74.0,5123.59,No,0.4542,No,High Value (VIP)
1434-RGWU,Male,0,Yes,No,64,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),94.73,6049.25,Yes,0.3774,No,High Value (VIP)
9928-NHOS,Female,1,Yes,No,66,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,113.69,7538.71,No,0.352,No,High Value (VIP)
5557-ZAYZ,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,63.73,3373.59,No,0.5179,Yes,Low/Mid Value (Needs Nurturing)
3615-WNKI,Male,0,No,No,35,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,27.14,909.61,Yes,0.519,Yes,Low/Mid Value (Needs Nurturing)
3547-GYKD,Male,0,No,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),81.22,5643.94,Yes,0.3653,No,High Value (VIP)
2519-MDLL,Female,0,No,No,14,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),28.27,367.29,Yes,0.3224,No,New/At Risk (Monitor)
5333-ZBXO,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),80.69,1350.56,No,0.4597,No,New/At Risk (Monitor)
9785-DMCR,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),71.29,225.08,Yes,0.4324,No,New/At Risk (Monitor)
5803-UTLS,Male,0,No,No,10,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,89.83,879.65,Yes,0.3857,No,New/At Risk (Monitor)
4150-WCBV,Male,0,No,No,5,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,53.52,255.86,Yes,0.4976,No,New/At Risk (Monitor)
4733-YJCH,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.71,1612.91,Yes,0.3959,No,Low/Mid Value (Needs Nurturing)
2654-MIOU,Male,0,No,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,41.99,2384.21,No,0.4763,No,Low/Mid Value (Needs Nurturing)
6977-FLLG,Female,0,No,Yes,59,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,86.96,5175.95,Yes,0.5432,Yes,High Value (VIP)
5374-WVUC,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.31,1106.35,Yes,0.5303,Yes,New/At Risk (Monitor)
3803-RXHF,Female,1,No,No,66,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.6,4841.57,Yes,0.3818,No,High Value (VIP)
8573-MIUW,Male,0,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,50.71,773.35,No,0.3277,No,New/At Risk (Monitor)
4598-VKYY,Female,1,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,102.34,3343.62,Yes,0.4866,No,High Value (VIP)
1916-HBZK,Male,0,No,Yes,29,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),118.7,3445.94,No,0.3587,No,High Value (VIP)
7572-ICGS,Female,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,49.63,930.67,Yes,0.2736,No,New/At Risk (Monitor)
6155-GUPM,Female,1,No,Yes,8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,90.47,711.11,No,0.4198,No,New/At Risk (Monitor)
8517-EIEH,Female,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),35.45,1371.17,Yes,0.5322,Yes,Low/Mid Value (Needs Nurturing)
9830-IXSN,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),92.86,3963.27,No,0.2337,No,High Value (VIP)
7543-LHEQ,Female,0,No,Yes,58,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,61.55,3569.91,No,0.3802,No,Low/Mid Value (Needs Nurturing)
9085-CYBD,Female,0,No,No,24,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),79.08,1869.85,No,0.3358,No,New/At Risk (Monitor)
3504-UFZV,Female,0,No,Yes,70,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),42.12,2921.96,No,0.2542,No,Low/Mid Value (Needs Nurturing)
7916-TCMM,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,103.84,5415.83,Yes,0.4068,No,High Value (VIP)
8668-QIRA,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,35.67,1641.02,No,0.4539,No,Low/Mid Value (Needs Nurturing)
2876-VRYI,Male,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.57,7830.97,Yes,0.2756,No,High Value (VIP)
6573-DJNF,Female,0,No,No,52,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),24.41,1290.17,No,0.4422,No,Low/Mid Value (Needs Nurturing)
8433-AXXI,Female,0,Yes,Yes,48,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),47.19,2313.2,No,0.2539,No,Low/Mid Value (Needs Nurturing)
9201-YFQD,Female,0,No,No,42,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.83,3093.24,No,0.2387,No,High Value (VIP)
5889-UQTG,Male,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,104.53,1883.28,Yes,0.318,No,New/At Risk (Monitor)
3504-LYFR,Female,1,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),76.24,4934.89,Yes,0.4442,No,High Value (VIP)
9689-ATKP,Male,0,Yes,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.97,1337.3,No,0.2515,No,Low/Mid Value (Needs Nurturing)
1319-DLZJ,Male,1,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),104.58,7546.9,No,0.3098,No,High Value (VIP)
4923-BHSC,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,78.16,4189.96,Yes,0.5309,Yes,High Value (VIP)
2403-XPCY,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),41.6, ,Yes,0.401,No,New/At Risk (Monitor)
9727-YEEV,Male,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),74.72,3988.23,No,0.3967,No,High Value (VIP)
8787-RFIQ,Female,0,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.12,1169.01,No,0.3846,No,New/At Risk (Monitor)
7932-GRYX,Female,0,Yes,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),86.64,1244.29,No,0.2857,No,New/At Risk (Monitor)
4295-WJMV,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),91.01,2005.08,Yes,0.357,No,New/At Risk (Monitor)
7118-OQOD,Female,0,No,No,65,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),108.27,7074.25,No,0.2339,No,High Value (VIP)
5061-HCKA,Female,1,Yes,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,101.14,4505.89,No,0.5555,Yes,High Value (VIP)
4770-SHAC,Male,0,No,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,79.32,656.14,Yes,0.4876,No,New/At Risk (Monitor)
1964-HCBK,Female,0,Yes,No,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),21.48,1397.58,No,0.2526,No,Low/Mid Value (Needs Nurturing)
2160-QHIV,Female,0,Yes,No,65,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,93.58,6095.11,No,0.3327,No,High Value (VIP)
8953-GREX,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),116.23,1986.4,No,0.3624,No,New/At Risk (Monitor)
8744-HZPZ,Female,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.96,743.59,No,0.5839,Yes,New/At Risk (Monitor)
7669-GDDV,Male,0,No,No,71,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,79.24,5669.28,No,0.2701,No,High Value (VIP)
8062-LNNO,Female,1,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),95.5,3194.36,Yes,0.3866,No,High Value (VIP)
1887-VUUD,Male,0,Yes,No,68,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.48,5650.53,Yes,0.4745,No,High Value (VIP)
1993-MXKZ,Female,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),110.97,6995.18,Yes,0.5805,Yes,High Value (VIP)
2790-HGGR,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),65.82,2805.67,Yes,0.3478,No,Low/Mid Value (Needs Nurturing)
8350-ENFI,Male,0,Yes,No,28,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),71.7,1965.73,No,0.5092,Yes,New/At Risk (Monitor)
8579-HCOZ,Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.09,1390.8,Yes,0.3884,No,Low/Mid Value (Needs Nurturing)
2604-BURA,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,108.72,1679.69,Yes,0.5791,Yes,New/At Risk (Monitor)
2528-YHFN,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.61,2274.13,No,0.5535,Yes,Low/Mid Value (Needs Nurturing)
