gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,-0.4258109850252005,1,0,0.29274665211034906,1,0,-1.701524379471316,-0.8944039701031747,1,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,2.348459845254621,1,1,1.5369946662488438,1,0,-1.6268606569591004,-0.5432971063652818,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,-0.4258109850252005,0,1,1.2498605091399604,1,1,0.8605474319200775,1.787943023995286,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,-0.4258109850252005,1,0,1.5848503591003245,1,0,0.19514157156815737,1.4396746169854702,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1,-0.4258109850252005,1,0,1.3455718948429216,0,1,0.9117059084562253,1.938241192870016,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,2.348459845254621,1,0,1.4412832805458826,1,0,1.5670874727301163,2.672018666883333,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
1,-0.4258109850252005,1,0,0.8191592734766353,1,1,-0.15985677574686719,0.49711308489166056,0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
1,-0.4258109850252005,0,0,-0.042243197850014895,1,1,-1.4246464084885169,-0.8300027801646279,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,-0.4258109850252005,0,0,1.6327060519518048,1,1,0.4447119773728775,1.719938555971192,1,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
0,-0.4258109850252005,0,0,-1.0472127477311068,1,0,-1.3855862203224043,-1.1220999059275507,1,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False
1,-0.4258109850252005,0,0,-0.9036456691766651,1,0,0.4263917121268246,-0.5925042044064764,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
1,-0.4258109850252005,0,0,-1.573625369097393,1,1,0.10146625304588726,-1.1986951490584425,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,-0.4258109850252005,0,0,-1.238635519137029,1,1,0.7423298712757364,-0.846139433594074,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
1,-0.4258109850252005,0,0,-1.477913983394432,1,0,-0.5127811307698854,-1.1821168382253868,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,-0.4258109850252005,1,0,0.6755921949221936,1,0,-1.2321107907139612,-0.4512007655808701,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
