customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2824-AXIH,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),19.13,790.04,Yes
4657-EXDV,Female,1,Yes,Yes,68,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),21.29,1441.92,No
9935-CSNB,Male,0,No,Yes,62,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),93.25,5770.2,No
1488-CGHQ,Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,74.0,5123.59,No
1434-RGWU,Male,0,Yes,No,64,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),94.73,6049.25,Yes
9928-NHOS,Female,1,Yes,No,66,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,113.69,7538.71,No
5557-ZAYZ,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,63.73,3373.59,No
3615-WNKI,Male,0,No,No,35,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,27.14,909.61,Yes
3547-GYKD,Male,0,No,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),81.22,5643.94,Yes
2519-MDLL,Female,0,No,No,14,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),28.27,367.29,Yes
5333-ZBXO,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),80.69,1350.56,No
9785-DMCR,Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),71.29,225.08,Yes
5803-UTLS,Male,0,No,No,10,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,89.83,879.65,Yes
4150-WCBV,Male,0,No,No,5,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,53.52,255.86,Yes
4733-YJCH,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.71,1612.91,Yes
2654-MIOU,Male,0,No,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,41.99,2384.21,No
